indice_tiempo,localidad,origen_pernoctes,pernoctes,observaciones
2018-01-01,Bahía Blanca,Total,16619,""
2018-01-01,Bahía Blanca,Residentes,15784,""
2018-01-01,Bahía Blanca,No residentes,835,""
2018-01-01,Bariloche,Total,324603,""
2018-01-01,Bariloche,Residentes,254665,""
2018-01-01,Bariloche,No residentes,69938,""
2018-01-01,CABA,Total,843250,""
2018-01-01,CABA,Residentes,393857,""
2018-01-01,CABA,No residentes,449393,""
2018-01-01,Cafayate,Total,23454,""
2018-01-01,Cafayate,Residentes,20717,""
2018-01-01,Cafayate,No residentes,2737,""
2018-01-01,Calafate,Total,114715,""
2018-01-01,Calafate,Residentes,57629,""
2018-01-01,Calafate,No residentes,57086,""
2018-01-01,Carlos Paz,Total,322362,""
2018-01-01,Carlos Paz,Residentes,321638,""
2018-01-01,Carlos Paz,No residentes,724,""
2018-01-01,Catamarca,Total,9189,""
2018-01-01,Catamarca,Residentes,9037,""
2018-01-01,Catamarca,No residentes,152,""
2018-01-01,Córdoba,Total,83410,""
2018-01-01,Córdoba,Residentes,69145,""
2018-01-01,Córdoba,No residentes,14265,""
2018-01-01,Corrientes,Total,30460,""
2018-01-01,Corrientes,Residentes,24605,""
2018-01-01,Corrientes,No residentes,5855,""
2018-01-01,Formosa,Total,13559,""
2018-01-01,Formosa,Residentes,12087,""
2018-01-01,Formosa,No residentes,1472,""
2018-01-01,Gualeguaychú,Total,40237,""
2018-01-01,Gualeguaychú,Residentes,39947,""
2018-01-01,Gualeguaychú,No residentes,290,""
2018-01-01,Jujuy,Total,23004,""
2018-01-01,Jujuy,Residentes,20236,""
2018-01-01,Jujuy,No residentes,2768,""
2018-01-01,La Angostura,Total,54681,""
2018-01-01,La Angostura,Residentes,50281,""
2018-01-01,La Angostura,No residentes,4400,""
2018-01-01,La Falda,Total,113290,""
2018-01-01,La Falda,Residentes,113271,""
2018-01-01,La Falda,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-01-01,La Rioja,Total,7570,""
2018-01-01,La Rioja,Residentes,7308,""
2018-01-01,La Rioja,No residentes,262,""
2018-01-01,Las Grutas,Total,51956,""
2018-01-01,Las Grutas,Residentes,51631,""
2018-01-01,Las Grutas,No residentes,325,""
2018-01-01,Malargue-Las Leñas,Total,13472,""
2018-01-01,Malargue-Las Leñas,Residentes,12553,""
2018-01-01,Malargue-Las Leñas,No residentes,919,""
2018-01-01,Mar Chiquita,Total,24302,""
2018-01-01,Mar Chiquita,Residentes,24302,""
2018-01-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-01-01,Mar del Plata,Total,932085,""
2018-01-01,Mar del Plata,Residentes,926256,""
2018-01-01,Mar del Plata,No residentes,5829,""
2018-01-01,Mendoza,Total,124571,""
2018-01-01,Mendoza,Residentes,75802,""
2018-01-01,Mendoza,No residentes,48769,""
2018-01-01,Merlo,Total,78496,""
2018-01-01,Merlo,Residentes,78440,""
2018-01-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-01-01,Mina Clavero,Total,87113,""
2018-01-01,Mina Clavero,Residentes,86603,""
2018-01-01,Mina Clavero,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-01-01,Neuquén,Total,40505,""
2018-01-01,Neuquén,Residentes,37745,""
2018-01-01,Neuquén,No residentes,2760,""
2018-01-01,Paraná,Total,15202,""
2018-01-01,Paraná,Residentes,14945,""
2018-01-01,Paraná,No residentes,257,""
2018-01-01,Pinamar,Total,269738,""
2018-01-01,Pinamar,Residentes,268510,""
2018-01-01,Pinamar,No residentes,1228,""
2018-01-01,Posadas,Total,32755,""
2018-01-01,Posadas,Residentes,26495,""
2018-01-01,Posadas,No residentes,6260,""
2018-01-01,Puerto Iguazú,Total,161291,""
2018-01-01,Puerto Iguazú,Residentes,106055,""
2018-01-01,Puerto Iguazú,No residentes,55236,""
2018-01-01,Puerto Madryn,Total,69120,""
2018-01-01,Puerto Madryn,Residentes,63252,""
2018-01-01,Puerto Madryn,No residentes,5868,""
2018-01-01,Rafaela,Total,7864,""
2018-01-01,Rafaela,Residentes,7771,""
2018-01-01,Rafaela,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-01-01,Resistencia,Total,29866,""
2018-01-01,Resistencia,Residentes,28176,""
2018-01-01,Resistencia,No residentes,1690,""
2018-01-01,Río Cuarto,Total,20037,""
2018-01-01,Río Cuarto,Residentes,19409,""
2018-01-01,Río Cuarto,No residentes,628,""
2018-01-01,Rio Gallegos,Total,14063,""
2018-01-01,Rio Gallegos,Residentes,12358,""
2018-01-01,Rio Gallegos,No residentes,1705,""
2018-01-01,Rosario,Total,66386,""
2018-01-01,Rosario,Residentes,58482,""
2018-01-01,Rosario,No residentes,7904,""
2018-01-01,Salta,Total,117446,""
2018-01-01,Salta,Residentes,97867,""
2018-01-01,Salta,No residentes,19579,""
2018-01-01,San Juan,Total,19390,""
2018-01-01,San Juan,Residentes,16758,""
2018-01-01,San Juan,No residentes,2632,""
2018-01-01,San Luis,Total,25934,""
2018-01-01,San Luis,Residentes,25029,""
2018-01-01,San Luis,No residentes,905,""
2018-01-01,San Martín de los Andes,Total,89370,""
2018-01-01,San Martín de los Andes,Residentes,82688,""
2018-01-01,San Martín de los Andes,No residentes,6682,""
2018-01-01,San Rafael,Total,69608,""
2018-01-01,San Rafael,Residentes,69089,""
2018-01-01,San Rafael,No residentes,519,""
2018-01-01,Santa Fe,Total,19801,""
2018-01-01,Santa Fe,Residentes,18457,""
2018-01-01,Santa Fe,No residentes,1344,""
2018-01-01,Santa Rosa,Total,33327,""
2018-01-01,Santa Rosa,Residentes,32294,""
2018-01-01,Santa Rosa,No residentes,1033,""
2018-01-01,Santiago del Estero,Total,16111,""
2018-01-01,Santiago del Estero,Residentes,15729,""
2018-01-01,Santiago del Estero,No residentes,382,""
2018-01-01,Tandil,Total,43661,""
2018-01-01,Tandil,Residentes,42516,""
2018-01-01,Tandil,No residentes,1145,""
2018-01-01,Termas,Total,16233,""
2018-01-01,Termas,Residentes,16155,""
2018-01-01,Termas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-01-01,Tucumán,Total,39656,""
2018-01-01,Tucumán,Residentes,37663,""
2018-01-01,Tucumán,No residentes,1993,""
2018-01-01,Ushuaia,Total,91521,""
2018-01-01,Ushuaia,Residentes,44214,""
2018-01-01,Ushuaia,No residentes,47307,""
2018-01-01,Valle de Uco,Total,31520,""
2018-01-01,Valle de Uco,Residentes,22059,""
2018-01-01,Valle de Uco,No residentes,9461,""
2018-01-01,Viedma,Total,6631,""
2018-01-01,Viedma,Residentes,6423,""
2018-01-01,Viedma,No residentes,208,""
2018-01-01,Villa General Belgrano,Total,72239,""
2018-01-01,Villa General Belgrano,Residentes,71533,""
2018-01-01,Villa General Belgrano,No residentes,706,""
2018-01-01,Villa Gesell,Total,390925,""
2018-01-01,Villa Gesell,Residentes,389752,""
2018-01-01,Villa Gesell,No residentes,1173,""
