Categoría: Todas las categorías

Semana,Bariloche: (Todo el mundo)
2019-03-10,55
2019-03-17,54
2019-03-24,53
2019-03-31,47
2019-04-07,52
2019-04-14,51
2019-04-21,52
2019-04-28,50
2019-05-05,51
2019-05-12,55
2019-05-19,54
2019-05-26,64
2019-06-02,61
2019-06-09,63
2019-06-16,61
2019-06-23,73
2019-06-30,76
2019-07-07,81
2019-07-14,88
2019-07-21,100
2019-07-28,80
2019-08-04,71
2019-08-11,66
2019-08-18,65
2019-08-25,61
2019-09-01,65
2019-09-08,56
2019-09-15,58
2019-09-22,53
2019-09-29,55
2019-10-06,54
2019-10-13,55
2019-10-20,49
2019-10-27,54
2019-11-03,57
2019-11-10,58
2019-11-17,62
2019-11-24,61
2019-12-01,54
2019-12-08,54
2019-12-15,62
2019-12-22,69
2019-12-29,81
2020-01-05,96
2020-01-12,85
2020-01-19,84
2020-01-26,81
2020-02-02,87
2020-02-09,79
2020-02-16,77
2020-02-23,71
2020-03-01,68
2020-03-08,57
2020-03-15,46
2020-03-22,27
2020-03-29,29
2020-04-05,33
2020-04-12,30
2020-04-19,29
2020-04-26,27
2020-05-03,31
2020-05-10,31
2020-05-17,31
2020-05-24,30
2020-05-31,32
2020-06-07,34
2020-06-14,32
2020-06-21,36
2020-06-28,39
2020-07-05,35
2020-07-12,34
2020-07-19,33
2020-07-26,36
2020-08-02,33
2020-08-09,32
2020-08-16,32
2020-08-23,30
2020-08-30,30
2020-09-06,30
2020-09-13,31
2020-09-20,28
2020-09-27,30
2020-10-04,33
2020-10-11,31
2020-10-18,32
2020-10-25,33
2020-11-01,29
2020-11-08,34
2020-11-15,40
2020-11-22,36
2020-11-29,38
2020-12-06,45
2020-12-13,47
2020-12-20,45
2020-12-27,52
2021-01-03,66
2021-01-10,69
2021-01-17,65
2021-01-24,66
2021-01-31,63
2021-02-07,66
2021-02-14,58
2021-02-21,53
2021-02-28,56
2021-03-07,53
2021-03-14,55
2021-03-21,45
2021-03-28,47
2021-04-04,46
2021-04-11,34
2021-04-18,37
2021-04-25,38
2021-05-02,37
2021-05-09,40
2021-05-16,36
2021-05-23,32
2021-05-30,37
2021-06-06,37
2021-06-13,45
2021-06-20,49
2021-06-27,53
2021-07-04,57
2021-07-11,62
2021-07-18,66
2021-07-25,66
2021-08-01,54
2021-08-08,54
2021-08-15,69
2021-08-22,65
2021-08-29,54
2021-09-05,52
2021-09-12,50
2021-09-19,50
2021-09-26,53
2021-10-03,48
2021-10-10,57
2021-10-17,54
2021-10-24,61
2021-10-31,62
2021-11-07,55
2021-11-14,60
2021-11-21,58
2021-11-28,61
2021-12-05,63
2021-12-12,65
2021-12-19,60
2021-12-26,85
2022-01-02,86
2022-01-09,87
2022-01-16,89
2022-01-23,76
2022-01-30,76
2022-02-06,76
2022-02-13,78
2022-02-20,79
2022-02-27,70
2022-03-06,67
2022-03-13,63
2022-03-20,62
2022-03-27,58
2022-04-03,57
2022-04-10,61
2022-04-17,61
2022-04-24,65
2022-05-01,56
2022-05-08,56
2022-05-15,52
2022-05-22,59
2022-05-29,62
2022-06-05,93
2022-06-12,61
2022-06-19,66
2022-06-26,69
2022-07-03,75
2022-07-10,81
2022-07-17,81
2022-07-24,79
2022-07-31,71
2022-08-07,69
2022-08-14,68
2022-08-21,60
2022-08-28,55
2022-09-04,60
2022-09-11,66
2022-09-18,57
2022-09-25,52
2022-10-02,58
2022-10-09,54
2022-10-16,53
2022-10-23,54
2022-10-30,52
2022-11-06,54
2022-11-13,51
2022-11-20,49
2022-11-27,50
2022-12-04,53
2022-12-11,52
2022-12-18,54
2022-12-25,75
2023-01-01,87
2023-01-08,92
2023-01-15,90
2023-01-22,85
2023-01-29,74
2023-02-05,82
2023-02-12,80
2023-02-19,70
2023-02-26,67
2023-03-05,68
2023-03-12,66
2023-03-19,59
2023-03-26,63
2023-04-02,67
2023-04-09,66
2023-04-16,69
2023-04-23,62
2023-04-30,59
2023-05-07,57
2023-05-14,62
2023-05-21,67
2023-05-28,68
2023-06-04,69
2023-06-11,70
2023-06-18,73
2023-06-25,78
2023-07-02,87
2023-07-09,90
2023-07-16,87
2023-07-23,81
2023-07-30,79
2023-08-06,75
2023-08-13,69
2023-08-20,68
2023-08-27,73
2023-09-03,80
2023-09-10,69
2023-09-17,60
2023-09-24,57
2023-10-01,58
2023-10-08,57
2023-10-15,55
2023-10-22,58
2023-10-29,60
2023-11-05,62
2023-11-12,65
2023-11-19,60
2023-11-26,64
2023-12-03,63
2023-12-10,62
2023-12-17,59
2023-12-24,69
2023-12-31,86
2024-01-07,85
2024-01-14,84
2024-01-21,80
2024-01-28,70
2024-02-04,79
2024-02-11,66
2024-02-18,68
2024-02-25,55
2024-03-03,0
2024-03-10,0
